Date,Tournament,Patch,Result,Side,Opponent,Game Duration,Champ,Kills,Deaths,Assists
2023-07-30,PCS PCS 2023 Summer,13.13,Win,Red,Frank Esports,37:02,Neeko,1,4,10
2023-07-29,PCS PCS 2023 Summer,13.13,Win,Blue,Dewish Team,24:35,Neeko,7,1,10
2023-07-28,PCS PCS 2023 Summer,13.13,Loss,Red,J Team,26:49,Jayce,1,2,1
2023-07-23,PCS PCS 2023 Summer,13.12,Win,Blue,Impunity,22:57,Annie,6,1,10
2023-07-22,PCS PCS 2023 Summer,13.12,Loss,Red,HELL PIGS,36:37,Tristana,6,5,3
2023-07-21,PCS PCS 2023 Summer,13.12,Loss,Red,PSG Talon,31:34,Tristana,4,3,1
2023-07-16,PCS PCS 2023 Summer,13.12,Win,Red,Deep Cross Gaming,35:01,Jayce,6,1,9
2023-07-15,PCS PCS 2023 Summer,13.12,Win,Blue,Frank Esports,33:00,Neeko,4,2,5
2023-07-14,PCS PCS 2023 Summer,13.12,Win,Blue,J Team,35:59,Jayce,4,2,8
2023-07-09,PCS PCS 2023 Summer,13.12,Win,Red,Impunity,22:41,LeBlanc,6,1,6
2023-07-08,PCS PCS 2023 Summer,13.12,Win,Blue,PSG Talon,30:03,Annie,1,1,15
2023-07-07,PCS PCS 2023 Summer,13.12,Loss,Red,CTBC Flying Oyster,37:49,LeBlanc,2,2,7
2023-07-02,PCS PCS 2023 Summer,13.12,Win,Red,HELL PIGS,32:05,Gragas,1,1,11
2023-07-01,PCS PCS 2023 Summer,13.12,Win,Red,West Point Esports Philippines,28:32,Annie,4,1,8
2023-06-30,PCS PCS 2023 Summer,13.12,Win,Red,Dewish Team,23:54,K'Sante,4,0,15
2023-04-02,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Impunity,27:02,Gragas,0,2,2
2023-04-02,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Impunity,23:45,Sylas,3,3,2
2023-04-02,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Impunity,39:13,Gragas,2,1,12
2023-04-02,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Impunity,32:09,Viktor,3,2,9
2023-04-02,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Impunity,32:57,Jayce,5,2,11
2023-03-25,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Chiefs Esports Club,34:39,Viktor,4,1,6
2023-03-25,PCS PCS 2023 Spring Playoffs,13.5,Loss,Blue,Chiefs Esports Club,38:54,Sylas,2,6,10
2023-03-25,PCS PCS 2023 Spring Playoffs,13.5,Win,Blue,Chiefs Esports Club,43:16,Jayce,2,6,9
2023-03-25,PCS PCS 2023 Spring Playoffs,13.5,Win,Red,Chiefs Esports Club,23:57,Gragas,3,0,9
2023-03-12,PCS PCS 2023 Spring,13.4,Win,Red,Deep Cross Gaming,29:39,Orianna,2,0,8
2023-03-11,PCS PCS 2023 Spring,13.4,Win,Blue,CTBC Flying Oyster,36:06,Gragas,2,0,6
2023-03-10,PCS PCS 2023 Spring,13.4,Loss,Blue,Impunity,40:02,Ryze,1,5,5
2023-03-09,PCS PCS 2023 Spring,13.4,Loss,Blue,SEM9 WPE,39:57,Ryze,1,3,12
2023-03-05,PCS PCS 2023 Spring,13.4,Win,Blue,HELL PIGS,33:04,Gragas,4,1,7
2023-03-04,PCS PCS 2023 Spring,13.4,Win,Red,J Team,30:55,Sylas,5,2,4
2023-03-03,PCS PCS 2023 Spring,13.4,Loss,Red,PSG Talon,32:02,Ryze,0,3,2
2023-02-26,PCS PCS 2023 Spring,13.3,Win,Blue,Frank Esports,33:30,Jayce,3,1,6
2023-02-25,PCS PCS 2023 Spring,13.3,Loss,Blue,Deep Cross Gaming,39:55,Jayce,1,3,4
2023-02-24,PCS PCS 2023 Spring,13.3,Win,Blue,Dewish Team,32:48,Ryze,2,1,6
2023-02-19,PCS PCS 2023 Spring,13.3,Win,Red,HELL PIGS,43:06,Jayce,1,2,2
2023-02-18,PCS PCS 2023 Spring,13.3,Win,Blue,Impunity,35:58,Ryze,2,2,4
2023-02-17,PCS PCS 2023 Spring,13.3,Loss,Blue,SEM9 WPE,48:33,Ryze,3,6,9
2023-02-12,PCS PCS 2023 Spring,13.1,Win,Blue,J Team,33:08,Orianna,5,0,17
2023-02-11,PCS PCS 2023 Spring,13.1,Win,Blue,Dewish Team,27:04,Ryze,12,0,13
2023-02-10,PCS PCS 2023 Spring,13.1,Loss,Red,Frank Esports,27:59,Swain,0,4,1
2023-02-05,PCS PCS 2023 Spring,13.1,Loss,Blue,PSG Talon,38:38,Syndra,3,4,1
2023-02-04,PCS PCS 2023 Spring,13.1,Loss,Red,Deep Cross Gaming,34:14,Sylas,0,2,1
2023-02-03,PCS PCS 2023 Spring,13.1,Win,Red,CTBC Flying Oyster,34:06,Jayce,2,0,3
